P,      v=[1,1],                        v=[2,2],                        v=[3,3]

3->2,   [0.636, 0.132496],              [0.689, 0.0601585681256469],    [0.717, 0.04119712157534866]

5->3,   [0.615, 0.20285238611351894],   [0.640, 0.05867971767707029],   [0.701, 0.045009614101997025]
5->2,   [0.771, 0.5908996900000003],    [0.771, 0.34916244364209637],   [0.771, 0.20631997970775726]

9->5,   [0.602, 0.24892849828055097],   [0.601, 0.06805409030239289],   [0.633, 0.03261108092908306]
9->3,   [0.735, 0.6663311093013644],    [0.735, 0.4441423043922098],    [0.735, 0.2962196725987019]
9->2,   [0.783, 0.8737575625000004],    [0.783, 0.7634522780259407],    [0.783, 0.6670722015330183]

17->9,  [0.577, 0.29373525191220057],   [0.576, 0.08709593186171517],   [0.587, 0.03424773553455358]
17->5,  [0.692, 0.7182398649183701],    [0.692, 0.5158879978672499],    [0.692, 0.37056486929442745]
17->3,  [0.731, 0.9055889608486739],    [0.731, 0.8200913999307984],    [0.731, 0.7426657824743892]
17->2,  [0.743, 0.9674892106942042],    [0.743, 0.936035372809697],     [0.743, 0.905604124021504]
